@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Increment,Decrement,Permutation,[contents],[weight],[color],~[contents],~[weight],~[color],Same:contents,IncrementPattern:weight,DecrementPattern:weight,Different:color,Same:color,Same:weight,Different:contents,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
ROWS_ONLY,RawDistances,1,4,Decrement,0.365182,0.147016
ROWS_ONLY,RawDistances,1,3,Permutation,0.418037,0.087037
ROWS_ONLY,RawDistances,1,2,[contents],0.591534,0.075187
COLS_ONLY,Pruning,1,4,Averaged,0.374952,0.108201
COLS_ONLY,Pruning,1,3,Same,0.41513,0.121171
COLS_ONLY,Pruning,1,2,Increment,0.645161,0.135162
ROWS_ONLY,ClusterDiff,1,6,Averaged,0.266095,0.10889
ROWS_ONLY,ClusterDiff,1,5,Same,0.329061,0.12007
ROWS_ONLY,ClusterDiff,1,4,Increment,0.389017,0.150331
ROWS_ONLY,ClusterDiff,1,3,Decrement,0.502783,0.196728
ROWS_ONLY,ClusterDiff,1,2,Permutation,0.61937,0.082455
COLS_ONLY,ClusterDiff,3,3,Averaged,0.55624,0.112461
COLS_ONLY,ClusterDiff,3,2,Same,0.741882,0.085779
BOTH,RawDistances,1,5,Averaged,0.3,0.095994
BOTH,RawDistances,1,4,Same,0.368553,0.112061
BOTH,RawDistances,1,3,Increment,0.518817,0.134664
BOTH,RawDistances,1,2,Decrement,0.572047,0.17566
BOTH,Pruning,1,3,Averaged,0.431143,0.126622
BOTH,Pruning,1,2,Same,0.646556,0.101887
COLS_ONLY,RawDistances,4,3,Averaged,0.49342,0.088426
COLS_ONLY,RawDistances,4,2,Same,0.655842,0.085636
BOTH,RawDistances,4,2,Averaged,0.67741,0.08611
ROWS_ONLY,Pruning,2,4,Averaged,0.45893,0.119608
ROWS_ONLY,Pruning,2,3,Same,0.511335,0.132887
ROWS_ONLY,Pruning,2,2,Increment,0.738589,0.143809
BOTH,ClusterDiff,2,3,Averaged,0.52662,0.13553
BOTH,ClusterDiff,2,2,Same,0.717626,0.103586
BOTH,RawDistances,3,3,Averaged,0.51362,0.092945
BOTH,RawDistances,3,2,Same,0.675733,0.094475
COLS_ONLY,RawDistances,3,4,Averaged,0.41473,0.091067
COLS_ONLY,RawDistances,3,3,Same,0.496816,0.096506
